STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/10/2005,0.73,56,62,50
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/11/2005,1.42,57,66,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/12/2005,0.08,45,50,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/13/2005,0,48,62,34
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/14/2005,0,50,64,35
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/15/2005,0,47,55,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/16/2005,0,50,62,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/17/2005,0,54,67,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/18/2005,0,69,80,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/19/2005,0,65,75,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/20/2005,0,54,62,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/21/2005,0,50,61,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/22/2005,0,44,50,37
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/23/2005,0,40,49,30
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/24/2005,0,43,58,28
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/25/2005,0.01,44,50,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/26/2005,0.01,41,50,31
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/27/2005,0,35,40,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/28/2005,0,37,45,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/29/2005,0,37,46,27
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/30/2005,0,40,47,33
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/1/2005,0.02,35,41,28
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/2/2005,0,36,45,26
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/3/2005,0,40,54,26
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/4/2005,0,52,69,35
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/5/2005,0,63,74,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/6/2005,0,57,71,42
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/7/2005,0.13,61,70,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/8/2005,0.24,64,75,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/9/2005,0.05,59,66,51
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/10/2005,0,54,58,49
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/11/2005,0,44,50,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/12/2005,0.34,36,39,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/13/2005,0.02,42,47,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/14/2005,0.16,41,46,35
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/15/2005,0,44,53,34
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/16/2005,0,49,59,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/17/2005,0.05,56,65,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/18/2005,0.37,60,65,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/19/2005,0,61,70,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/20/2005,0,57,63,50
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/21/2005,0.19,66,76,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/22/2005,0,64,72,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/23/2005,0,61,73,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/24/2005,0.04,62,71,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/25/2005,0.92,56,61,50
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/26/2005,0.01,55,63,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/27/2005,0.02,51,55,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/28/2005,0,48,53,42
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/29/2005,0.01,56,65,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/30/2005,0,59,69,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",5/31/2005,0,63,74,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/1/2005,0.01,63,68,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/2/2005,0,68,79,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/3/2005,0.01,67,71,62
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/4/2005,0.52,64,67,61
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/5/2005,0.08,62,66,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/6/2005,0,66,77,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/7/2005,0.65,69,78,60
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/8/2005,0.61,67,76,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/9/2005,0.04,63,72,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/10/2005,0.32,66,73,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/11/2005,0.28,64,70,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/12/2005,0,64,74,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/13/2005,1.41,65,72,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/14/2005,0.19,62,67,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/15/2005,0.04,65,72,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/16/2005,0,63,76,49
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/17/2005,0,64,78,50
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/18/2005,0,71,83,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/19/2005,0,78,88,68
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/20/2005,0.73,70,78,62
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/21/2005,0,71,82,59
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/22/2005,0,75,86,64
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/23/2005,0,85,94,75
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/24/2005,0,68,76,59
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/25/2005,0,68,79,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/26/2005,0.04,76,87,65
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/27/2005,0.14,73,82,63
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/28/2005,0,69,78,60
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/29/2005,1.59,72,80,63
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",6/30/2005,0.07,62,66,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/1/2005,0,63,73,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/2/2005,0,70,82,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/3/2005,0.22,70,78,61
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/4/2005,0,65,72,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/5/2005,0,63,71,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/6/2005,0,66,76,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/7/2005,0,72,83,60
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/8/2005,0.01,74,81,66
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/9/2005,0,79,90,67
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/10/2005,0,81,89,73
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/11/2005,0.05,77,89,64
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/12/2005,0,74,87,61
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/13/2005,0,76,87,65
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/14/2005,0,77,89,65
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/15/2005,0,81,88,73
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/16/2005,0,83,94,71
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/17/2005,0,77,90,63
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/18/2005,0,64,73,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/19/2005,0,70,90,50
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/20/2005,0,79,90,68
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/21/2005,0,74,86,62
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/22/2005,0,76,87,65
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/23/2005,1.03,76,85,67
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/24/2005,0,76,86,66
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/25/2005,0.85,67,74,59
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/26/2005,0,60,68,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/27/2005,0.1,63,76,49
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/28/2005,0.05,67,76,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/29/2005,0,65,77,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/30/2005,0,75,86,63
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",7/31/2005,0,76,87,64
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/1/2005,0,,89,65
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/2/2005,0,,88,70
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/3/2005,0.3,,86,68
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/4/2005,0,,79,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/5/2005,0,,81,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/6/2005,0,,84,64
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/7/2005,0,,88,62
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/8/2005,0,,92,73
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/9/2005,0.2,,79,65
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/10/2005,0,,78,59
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/11/2005,0.01,,71,59
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/12/2005,0,,75,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/13/2005,0,,67,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/14/2005,0,,74,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/15/2005,0,,77,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/16/2005,0.55,,83,59
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/17/2005,0,,81,63
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/18/2005,0.25,,75,64
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/19/2005,0.27,,74,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/20/2005,0,,71,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/21/2005,0,,69,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/22/2005,0,,67,48
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/23/2005,0,,73,50
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/24/2005,0,,75,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/25/2005,3.45,,79,65
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/26/2005,0.95,,76,59
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/27/2005,0,,71,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/28/2005,0,,76,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/29/2005,0,,77,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/30/2005,0,,76,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",8/31/2005,0,,73,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/1/2005,0,,73,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/2/2005,0,,73,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/3/2005,3.19,,64,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/4/2005,0,,83,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/5/2005,1.93,,81,65
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/6/2005,0.02,,74,59
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/7/2005,0,,70,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/8/2005,0.05,,75,57
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/9/2005,0,,78,61
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/10/2005,0,,87,71
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/11/2005,0,,85,64
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/12/2005,1.31,,75,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/13/2005,0,,67,50
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/14/2005,0,,71,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/15/2005,0,,76,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/16/2005,0,,79,50
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/17/2005,0.03,,71,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/18/2005,0,,71,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/19/2005,0.12,,72,58
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/20/2005,0,,82,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/21/2005,0,,85,55
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/22/2005,0,,67,49
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/23/2005,0,,66,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/24/2005,0.03,,66,54
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/25/2005,0.57,,55,46
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/26/2005,0,,69,42
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/27/2005,0,,77,52
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/28/2005,0.01,,56,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/29/2005,0,,66,34
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",9/30/2005,0,,81,49
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/1/2005,0,,82,53
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/2/2005,0,,75,62
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/3/2005,0,,65,56
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/4/2005,1.92,,56,49
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/5/2005,0.67,,56,34
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/6/2005,0.02,,37,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/7/2005,0,,47,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/8/2005,0,,54,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/9/2005,0,,58,37
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/10/2005,0,,59,35
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/11/2005,0,,60,39
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/12/2005,0.09,,55,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/13/2005,0,,61,47
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/14/2005,0,,63,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/15/2005,0,,60,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/16/2005,0,,67,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/17/2005,0.04,,62,45
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/18/2005,0,,77,42
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/19/2005,0,,51,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/20/2005,0,,53,34
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/21/2005,0.07,,50,31
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/22/2005,0,,45,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/23/2005,0,,47,33
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/24/2005,0,,48,27
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/25/2005,0,,51,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/26/2005,0,,53,33
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/27/2005,0,,55,33
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/28/2005,0,,61,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/29/2005,0.01,,63,49
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/30/2005,0.03,,54,43
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",10/31/2005,0,,49,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/1/2005,0,,54,33
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/2/2005,0,,62,33
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/3/2005,0,,48,35
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/4/2005,0,,43,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/5/2005,0,,50,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/6/2005,0,,52,30
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/7/2005,0,,57,37
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/8/2005,0.01,,54,36
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/9/2005,0,,41,26
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/10/2005,0,,54,27
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/11/2005,0,,69,35
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/12/2005,1.05,,47,38
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/13/2005,0.11,,40,26
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/14/2005,0.1,,39,25
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/15/2005,0.16,,35,21
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/16/2005,0,,22,8
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/17/2005,0,,28,4
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/18/2005,0,,39,24
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/19/2005,0,,37,30
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/20/2005,0,,45,28
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/21/2005,0,,38,28
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/22/2005,0,,35,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/23/2005,0,,40,14
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/24/2005,0,,18,10
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/25/2005,0.07,,17,12
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/26/2005,0,,23,10
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/27/2005,0.05,,35,21
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/28/2005,0.76,,36,19
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/29/2005,0,,19,15
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",11/30/2005,0.01,,19,6
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/1/2005,0.01,,16,4
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/2/2005,0,,12,1
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/3/2005,0,,14,0
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/4/2005,0,,9,-1
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/5/2005,0,,4,-9
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/6/2005,0,,11,-6
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/7/2005,0,,16,6
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/8/2005,0,,14,1
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/9/2005,0,,24,-2
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/10/2005,0,,35,15
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/11/2005,0,,19,9
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/12/2005,0,,31,19
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/13/2005,0.02,,34,22
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/14/2005,0.08,,33,22
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/15/2005,0,,22,12
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/16/2005,0,,12,5
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/17/2005,0,,6,-1
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/18/2005,0,,0,-12
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/19/2005,0,,12,-11
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/20/2005,0,,16,3
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/21/2005,0,,22,-2
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/22/2005,0.03,,39,21
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/23/2005,0,,37,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/24/2005,0,,33,28
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/25/2005,0,,30,27
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/26/2005,0,,30,26
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",12/27/2005,0,,32,29
